iter	RMSE
0	74857.52699
1	72307.80083
2	70114.72409
3	67960.3705
4	65680.0781
5	63604.32335
6	61744.17791
7	60290.26805
8	58550.17901
9	57028.69788
10	55512.50593
11	54084.12216
12	52589.77097
13	51279.36581
14	50124.32444
15	48924.0785
16	47723.14437
17	46666.43418
18	45572.31046
19	44555.33627
20	43564.81716
21	42689.94404
22	41821.70803
23	40857.54007
24	39975.80488
25	39223.69323
26	38440.25381
27	37776.74901
28	37094.31458
29	36489.5894
30	35915.88132
31	35222.06436
32	34721.95005
33	34090.33753
34	33526.30623
35	33007.95012
36	32526.64261
37	32069.11196
38	31625.85373
39	31166.73422
40	30743.38044
41	30354.9626
42	29951.26815
43	29556.3237
44	29132.47361
45	28814.57243
46	28506.52649
47	28174.30521
48	27866.67336
49	27612.26073
50	27332.69844
51	27044.8746
52	26797.09809
53	26552.5156
54	26337.41209
55	26112.24301
56	25847.84379
57	25647.73545
58	25393.91276
59	25211.43553
60	25046.53566
61	24828.21619
62	24638.33271
63	24465.41995
64	24304.73522
65	24170.88049
66	24000.46275
67	23827.29469
68	23694.24923
69	23538.24345
70	23346.07613
71	23179.2229
72	23021.96675
73	22830.20197
74	22687.26581
75	22558.38584
76	22419.71681
77	22298.69054
78	22145.25411
79	22022.10699
80	21857.08201
81	21715.51174
82	21552.01436
83	21433.32613
84	21368.98687
85	21271.62235
86	21191.41068
87	21086.89047
88	20958.25041
89	20872.53982
90	20854.50891
91	20732.91323
92	20611.78962
93	20533.58456
94	20444.18055
95	20361.58102
96	20279.06581
97	20209.81062
98	20131.27219
99	20091.4587
100	20003.75297
101	19955.47515
102	19915.6986
103	19802.49976
104	19725.31283
105	19615.54316
106	19508.43611
107	19432.37048
108	19404.64097
109	19351.17476
110	19294.2441
111	19249.16442
112	19227.33377
113	19162.66978
114	19121.51658
115	19039.91512
116	18972.39105
117	18904.8112
118	18834.96299
119	18818.96024
120	18774.98281
121	18716.03401
122	18621.10874
123	18497.54423
124	18399.61449
125	18322.31816
126	18260.00853
127	18197.12761
128	18137.33426
129	18072.35193
130	18043.62767
131	17987.14512
132	17911.24993
133	17851.32441
134	17815.57324
135	17769.40517
136	17702.59037
137	17653.17709
138	17618.88143
139	17545.42828
140	17475.84133
141	17408.25194
142	17336.81572
143	17292.96701
144	17233.62422
145	17189.93366
146	17158.89161
147	17102.94484
148	17044.18905
149	16976.16753
150	16923.50729
151	16849.83548
152	16816.15102
153	16779.94904
154	16719.5242
155	16682.1025
156	16655.88838
157	16588.71126
158	16548.92997
159	16502.04693
160	16469.20701
161	16425.62729
162	16377.23524
163	16308.66103
164	16235.0768
165	16214.42607
166	16161.32193
167	16122.45466
168	16108.26947
169	16041.25083
170	15980.7072
171	15968.05878
172	15955.01617
173	15940.17764
174	15898.69606
175	15838.04251
176	15814.54292
177	15777.63031
178	15720.68477
179	15709.81364
180	15699.71565
181	15688.21343
182	15671.59683
183	15610.52187
184	15587.6364
185	15578.99047
186	15531.66623
187	15521.48402
188	15470.10107
189	15462.05414
190	15417.27272
191	15405.84365
192	15350.98239
193	15303.31006
194	15246.12239
195	15204.84228
196	15183.4236
197	15157.7783
198	15104.31874
199	15055.46988
200	15031.75075
201	14996.9053
