iter	RMSE
0	74513.77332
1	72111.96685
2	69883.47768
3	67663.23652
4	65411.99697
5	63455.92811
6	61805.47185
7	60016.30705
8	58326.67544
9	56838.70529
10	55339.22765
11	53760.91634
12	52207.89385
13	50951.44947
14	49736.4125
15	48517.97629
16	47348.15482
17	46269.44113
18	45192.37634
19	44145.50481
20	43189.94875
21	42351.16604
22	41563.98092
23	40730.66075
24	39868.23693
25	39174.15658
26	38429.98674
27	37790.49665
28	37173.35188
29	36592.29784
30	36020.14558
31	35472.52242
32	34959.1489
33	34452.70359
34	33933.74341
35	33442.98853
36	32994.14882
37	32574.41147
38	32176.40278
39	31693.92172
40	31281.61746
41	30943.08967
42	30613.29246
43	30230.6376
44	29850.58979
45	29418.65349
46	29108.37273
47	28810.94066
48	28544.55293
49	28280.3485
50	28012.2873
51	27829.88978
52	27593.88592
53	27370.74194
54	27165.06682
55	26905.41531
56	26737.48679
57	26482.14232
58	26265.51133
59	26207.67553
60	25996.25676
61	25840.32833
62	25651.17234
63	25460.91638
64	25238.89881
65	25073.17093
66	24890.14516
67	24752.09398
68	24581.02822
69	24428.04772
70	24288.32478
71	24104.99966
72	23994.15416
73	23859.7142
74	23740.05717
75	23585.57266
76	23486.87376
77	23424.99291
78	23307.138
79	23167.19428
80	23084.81719
81	22995.87677
82	22843.67591
83	22764.55672
84	22686.83807
85	22609.42187
86	22564.72309
87	22498.44628
88	22398.35396
89	22294.13482
90	22212.20226
91	22162.10914
92	22126.42751
93	22018.89974
94	21992.55492
95	21924.15813
96	21866.64018
97	21833.6606
98	21783.58119
99	21719.44854
100	21677.62418
101	21582.12904
102	21502.53395
103	21422.70143
104	21353.75872
105	21308.11802
106	21256.31277
107	21163.49707
108	21085.92027
109	21022.12229
110	21013.46629
111	20948.6046
112	20878.42694
113	20836.34837
114	20782.81836
115	20727.96662
116	20688.80185
117	20659.3044
118	20602.47389
119	20541.58566
120	20467.38805
121	20411.56008
122	20320.99851
123	20263.961
124	20192.5829
125	20136.45815
126	20074.77614
127	20038.57509
128	19988.33993
129	19933.24131
130	19911.78411
131	19889.82952
132	19851.78014
133	19837.82484
134	19812.68842
135	19771.6387
136	19718.20006
137	19658.81651
138	19640.35992
139	19591.34839
140	19568.11913
141	19520.17982
142	19468.0806
143	19452.55949
144	19435.93665
145	19417.61066
146	19382.44839
147	19331.05157
148	19283.66991
149	19247.26737
150	19230.97956
151	19198.78218
152	19136.99011
153	19100.42556
154	19038.75524
155	18976.45334
156	18945.12953
157	18903.87729
158	18860.70338
159	18847.7187
160	18793.66282
161	18776.10475
162	18737.95717
163	18723.29883
164	18680.64994
165	18666.68302
166	18655.47751
167	18644.6247
168	18594.15356
169	18582.52486
170	18540.45015
171	18513.37149
172	18466.93624
173	18428.80281
174	18387.445
175	18330.52931
176	18321.10944
177	18311.57811
178	18274.08811
179	18255.88516
180	18202.55583
181	18194.4992
182	18151.42231
183	18102.84763
184	18039.67949
185	18009.84144
186	17965.49573
187	17927.87027
188	17903.01121
189	17895.35307
190	17838.26667
191	17781.42959
192	17731.81356
193	17695.23819
194	17660.10325
195	17621.32245
196	17557.88391
197	17507.1167
198	17474.82031
199	17468.30871
200	17428.78424
201	17422.15691
202	17375.93992
203	17326.51725
204	17284.65321
205	17278.46418
206	17252.6338
207	17192.51245
208	17155.93189
209	17095.8952
210	17065.47398
211	17027.43644
212	17020.75876
213	17015.3505
214	16981.87725
215	16976.65887
216	16956.50124
217	16917.16175
218	16877.78687
219	16846.46641
220	16815.03977
221	16778.2147
222	16748.17232
223	16720.92032
224	16716.13108
225	16674.9094
226	16635.70805
227	16608.21949
228	16591.8441
229	16542.62105
230	16490.73816
231	16454.641
232	16418.58051
233	16383.47613
234	16356.54486
235	16322.67957
236	16281.37279
237	16246.23262
238	16220.81555
239	16185.53279
240	16161.93853
241	16125.24607
242	16079.94194
243	16073.62082
244	16045.68947
245	16019.1279
246	15958.53784
247	15923.05894
248	15894.1255
249	15864.52583
250	15859.80458
251	15813.95094
252	15781.3959
253	15741.13218
254	15716.23691
255	15693.61906
256	15667.05284
257	15630.78148
258	15590.05628
259	15563.55881
260	15522.42627
261	15498.59882
262	15480.77803
263	15476.47805
264	15442.08501
265	15414.75118
266	15388.47134
267	15339.63765
268	15311.50667
269	15272.99845
270	15241.77289
271	15202.36961
272	15176.96464
273	15166.10747
274	15142.09279
275	15117.78579
276	15089.92702
277	15048.87986
278	15044.75406
279	15011.43559
280	14973.16314
281	14962.31569
282	14916.19676
283	14893.44872
284	14863.28611
285	14831.47197
286	14811.22185
287	14779.12838
288	14742.26677
289	14718.27062
290	14680.00025
291	14657.13741
292	14621.16678
293	14616.51705
294	14587.12462
295	14553.93108
296	14542.32557
297	14528.77236
298	14525.20066
299	14497.23939
300	14480.20552
301	14443.03683
302	14424.35741
303	14384.85702
304	14358.00408
305	14338.58502
306	14303.33978
307	14275.83121
308	14241.49949
309	14228.92417
310	14192.05621
311	14156.76315
312	14111.3925
313	14108.07941
314	14084.13337
315	14080.93116
316	14063.08035
317	14045.0826
318	14008.12907
319	13981.73311
320	13962.09409
321	13924.95098
322	13891.46695
323	13854.00943
324	13831.82696
325	13805.68862
326	13782.40871
327	13766.64296
328	13740.96437
329	13698.23668
330	13677.16859
331	13651.1056
332	13643.79058
333	13629.59035
334	13601.80859
335	13565.325
336	13540.56604
337	13520.90349
338	13489.83705
339	13454.20988
340	13428.82885
341	13421.2919
342	13392.4428
343	13365.09228
344	13329.16562
345	13315.06864
346	13291.5199
347	13278.7104
348	13251.52329
349	13246.66531
350	13229.70003
351	13196.54689
352	13168.3516
353	13145.85373
354	13117.14772
355	13086.56289
356	13067.66062
357	13034.53716
358	12997.57505
359	12981.4338
360	12978.16179
361	12976.08902
362	12962.402
363	12933.86451
364	12905.08797
365	12882.82141
366	12862.31246
367	12840.72121
368	12829.89327
369	12802.39982
370	12774.42912
371	12736.6612
372	12717.27467
373	12708.27724
374	12678.68007
375	12647.68624
376	12631.7106
377	12599.31317
378	12573.8639
379	12554.8683
380	12546.34081
381	12523.73577
382	12500.13483
383	12481.96339
384	12458.37989
385	12450.10805
386	12425.24437
387	12415.12356
388	12396.85359
389	12378.29541
390	12356.3012
391	12331.10323
392	12306.36706
393	12295.14508
394	12290.34654
395	12273.66177
396	12255.39264
397	12239.24552
398	12209.30845
399	12191.9269
400	12188.47228
401	12154.46939
402	12152.6254
403	12149.23758
404	12131.60396
405	12107.59082
406	12088.06849
407	12065.73722
408	12050.99789
409	12038.92519
410	12026.0497
411	12020.1104
412	11999.7177
413	11984.71525
414	11974.47158
415	11957.65034
416	11941.453
417	11915.7622
418	11895.95948
419	11890.93118
420	11864.30041
421	11843.11866
422	11819.15975
423	11802.58177
424	11789.03832
425	11766.19363
426	11752.66979
427	11730.90372
428	11729.57146
429	11711.40527
430	11689.16008
431	11687.59689
432	11669.48114
433	11650.1604
434	11615.41405
435	11589.88201
436	11572.81859
437	11559.3021
438	11545.70381
439	11518.2159
440	11490.36872
441	11466.97034
442	11441.86754
443	11420.1832
444	11396.25806
445	11390.06411
446	11372.99961
447	11348.76499
448	11336.45046
449	11322.70778
450	11320.03346
451	11318.62279
452	11306.63049
453	11283.20637
454	11275.87341
455	11253.89733
456	11235.01729
457	11225.63413
458	11221.31581
459	11197.80372
460	11178.37337
461	11157.15005
462	11149.15013
463	11130.33098
464	11106.42746
465	11100.90005
466	11081.82559
467	11076.07416
468	11047.97101
469	11044.60135
470	11039.91862
471	11010.87474
472	10987.93831
473	10969.18383
474	10959.18053
475	10947.96167
476	10931.5496
477	10913.22524
478	10895.3247
479	10882.75256
480	10864.72745
481	10843.36298
482	10827.3196
483	10807.30292
484	10796.5444
485	10772.48443
486	10755.61939
487	10731.39517
488	10713.12892
489	10692.72341
490	10678.57177
491	10660.13897
492	10638.15854
493	10620.66948
494	10598.46157
495	10582.22956
496	10575.0992
497	10556.21255
498	10553.29664
499	10530.29079
500	10506.79474
501	10485.50069
502	10471.66596
503	10458.21325
504	10438.40183
505	10423.38608
506	10405.94051
507	10393.29403
508	10379.07108
509	10356.94944
510	10354.02346
511	10330.53531
512	10321.93404
513	10301.27834
514	10286.44833
515	10268.26412
516	10249.71447
517	10230.14117
518	10209.92521
519	10204.22
520	10191.63035
521	10176.25779
522	10166.18471
523	10151.42069
524	10130.26044
525	10113.20483
526	10098.54988
527	10078.05889
528	10069.54333
529	10055.33422
530	10038.69714
531	10016.35619
532	9997.781165
533	9982.852269
534	9963.320382
535	9939.040804
536	9921.147545
537	9902.185583
538	9882.358393
539	9871.016503
540	9860.042502
541	9842.923275
542	9824.197855
543	9806.222727
544	9787.044995
545	9767.36824
546	9752.980936
547	9736.452755
548	9715.479054
549	9701.536612
550	9693.461864
551	9681.285944
552	9662.905698
553	9660.686699
554	9638.912714
555	9622.475483
556	9595.859107
557	9581.091789
558	9566.811155
559	9551.782105
560	9536.430506
561	9529.78166
562	9515.457167
563	9513.255437
564	9512.190364
565	9500.631834
566	9490.425191
567	9477.65228
568	9462.395289
569	9453.854228
570	9435.70079
571	9426.34158
572	9415.421541
573	9406.858504
574	9399.032699
575	9382.724513
576	9375.767132
577	9364.630909
578	9348.93124
579	9333.668899
580	9322.259953
581	9320.177462
582	9308.133833
583	9295.776906
584	9295.21605
585	9278.823579
586	9267.294573
587	9254.991764
588	9238.310929
589	9218.243863
590	9199.96083
591	9190.102155
592	9179.820174
593	9165.431779
594	9156.452022
595	9152.849109
596	9143.385061
597	9128.006957
598	9121.670085
599	9106.265509
600	9089.162053
601	9082.445111
602	9069.34683
603	9051.885062
604	9038.087513
605	9025.59225
606	9008.795712
607	8992.089404
608	8977.484589
609	8970.38321
610	8958.589755
611	8944.819399
612	8941.065033
613	8930.153927
614	8917.909338
615	8912.679065
616	8904.511372
617	8891.119956
618	8879.479186
619	8865.490262
620	8855.295195
621	8844.875007
622	8834.636538
623	8827.947606
624	8816.938257
625	8804.969684
626	8797.387827
627	8783.042698
628	8771.764308
629	8760.477795
630	8756.771345
631	8742.451128
632	8728.396235
633	8716.776581
634	8703.147546
635	8686.219808
636	8674.264416
637	8672.920954
638	8651.186345
639	8638.555002
640	8616.346229
641	8609.549643
642	8606.739064
643	8595.00076
644	8584.426139
645	8563.853122
646	8546.738321
647	8536.468052
648	8525.474506
649	8514.671112
650	8500.793304
651	8492.411775
652	8477.232359
653	8464.645223
654	8454.520277
655	8440.94938
656	8429.267682
657	8413.876114
658	8398.30669
659	8387.072827
660	8375.157582
661	8360.697863
662	8352.495199
663	8344.564652
664	8336.690871
665	8331.537957
666	8322.814012
667	8311.417302
668	8296.655705
669	8285.62297
670	8274.064759
671	8267.094079
672	8251.64626
673	8235.198297
674	8228.026892
675	8226.987647
676	8215.997394
677	8203.686763
678	8188.912928
679	8180.965975
680	8175.868231
681	8164.596005
682	8157.105345
683	8149.053249
684	8141.869656
685	8125.463993
686	8120.74296
687	8110.472337
688	8093.555627
689	8078.175175
690	8066.628752
691	8063.801082
692	8055.216741
693	8040.575587
694	8027.114902
695	8019.166282
696	8009.909984
697	7998.231154
698	7984.899878
699	7974.100289
700	7963.538074
701	7953.120721
702	7945.544232
703	7926.731713
704	7918.780354
705	7905.138311
706	7896.526924
707	7885.201506
708	7879.842107
709	7871.994487
710	7869.051533
711	7864.989795
712	7857.21557
713	7839.617377
714	7833.775757
715	7822.440934
716	7804.953237
717	7791.930037
718	7785.70906
719	7780.604397
720	7775.253457
721	7772.464292
722	7758.995932
723	7748.304826
724	7735.042004
725	7730.327353
726	7720.097665
727	7706.674421
728	7697.537727
729	7689.369912
730	7683.127973
731	7675.631097
732	7670.378782
733	7661.034975
734	7653.503667
735	7640.942951
736	7631.084983
737	7622.62126
738	7612.286103
739	7600.940458
740	7574.142541
